Цифровой код;Наименование краткое;Наименование полное;Код альфа-2;Код альфа-3;autokey
762;ТАДЖИКИСТАН;Республика Таджикистан;TJ;TJK;classifierOksm_762
764;ТАИЛАНД;Королевство Таиланд;TH;THA;classifierOksm_764
768;ТОГО;Тоголезская Республика;TG;TGO;classifierOksm_768
772;ТОКЕЛАУ;ТОКЕЛАУ;TK;TKL;classifierOksm_772
776;ТОНГА;Королевство Тонга;TO;TON;classifierOksm_776
780;ТРИНИДАД И ТОБАГО;Республика Тринидад и Тобаго;TT;TTO;classifierOksm_780
784;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ;Объединенные Арабские Эмираты;AE;ARE;classifierOksm_784
788;ТУНИС;Тунисская Республика;TN;TUN;classifierOksm_788
792;ТУРЦИЯ;Турецкая Республика;TR;TUR;classifierOksm_792
795;ТУРКМЕНИСТАН;ТУРКМЕНИСТАН;TM;TKM;classifierOksm_795
796;ОСТРОВА ТЕРКС И КАЙКОС;ОСТРОВА ТЕРКС И КАЙКОС;TC;TCA;classifierOksm_796
798;ТУВАЛУ;ТУВАЛУ;TV;TUV;classifierOksm_798
800;УГАНДА;Республика Уганда;UG;UGA;classifierOksm_800
804;УКРАИНА;УКРАИНА;UA;UKR;classifierOksm_804
807;СЕВЕРНАЯ МАКЕДОНИЯ;Республика Северная Македония;MK;MKD;classifierOksm_807
818;ЕГИПЕТ;Арабская Республика Египет;EG;EGY;classifierOksm_818
826;СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ;Соединенное Королевство Великобритании и Северной Ирландии;GB;GBR;classifierOksm_826
831;ГЕРНСИ;ГЕРНСИ;GG;GGY;classifierOksm_831
832;ДЖЕРСИ;ДЖЕРСИ;JE;JEY;classifierOksm_832
833;ОСТРОВ МЭН;ОСТРОВ МЭН;IM;IMN;classifierOksm_833
834;ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА;Объединенная Республика Танзания;TZ;TZA;classifierOksm_834
840;СОЕДИНЕННЫЕ ШТАТЫ;Соединенные Штаты Америки;US;USA;classifierOksm_840
850;ВИРГИНСКИЕ ОСТРОВА (США);Виргинские острова Соединенных Штатов;VI;VIR;classifierOksm_850
854;БУРКИНА-ФАСО;БУРКИНА-ФАСО;BF;BFA;classifierOksm_854
858;УРУГВАЙ;Восточная Республика Уругвай;UY;URY;classifierOksm_858
860;УЗБЕКИСТАН;Республика Узбекистан;UZ;UZB;classifierOksm_860
862;ВЕНЕСУЭЛА, БОЛИВАРИАНСКАЯ РЕСПУБЛИКА;Боливарианская Республика Венесуэла;VE;VEN;classifierOksm_862
876;УОЛЛИС И ФУТУНА;УОЛЛИС И ФУТУНА;WF;WLF;classifierOksm_876
882;САМОА;Независимое Государство Самоа;WS;WSM;classifierOksm_882
887;ЙЕМЕН;Йеменская Республика;YE;YEM;classifierOksm_887
894;ЗАМБИЯ;Республика Замбия;ZM;ZMB;classifierOksm_894
895;АБХАЗИЯ;Республика Абхазия;AB;ABH;classifierOksm_895
896;ЮЖНАЯ ОСЕТИЯ;Республика Южная Осетия;OS;OST;classifierOksm_896
897;ДНР;Донецкая Народная Республика;DN;DNR;classifierOksm_897
898;ЛНР;Луганская Народная Республика;LN;LNR;classifierOksm_898

